,precision,recall,f1-score,support
ATTACK,0.509070258510366,0.2854336711812719,0.36577740485741544,111490.0
BENIGN,0.8415624397160864,0.9323808915260735,0.8846469038759042,453851.0
accuracy,0.8047974585250318,0.8047974585250318,0.8047974585250318,0.8047974585250318
macro avg,0.6753163491132261,0.6089072813536727,0.6252121543666598,565341.0
weighted avg,0.7759921851571109,0.8047974585250318,0.7823214747179776,565341.0
