Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro,Task
Rule-Based Signature Engine,0.3718799804012092,0.6988217023902549,0.3718799804012092,0.484894789746601,0.14927697449560257,0.11282428603302436,0.11400168169570012,Multiclass (attack type)
IsolationForest,0.8059985035580296,0.7772253054839923,0.8059985035580296,0.7831879266799623,0.6782001857004677,0.6095166202296727,0.6261793034556918,Binary (anomaly detection)
XGBoost,0.9999044824274199,0.9999070562074134,0.9999044824274199,0.999905262606415,0.9580673689202571,0.9878016569769582,0.9690255130729323,Multiclass (attack type)
